INSTNM,CITY,STABBR,HIGHDEG,CONTROL,HSI,ADM_RATE,SAT_AVG,UGDS,UGDS_HISP,FIRSTGEN_RPY_1YR_RT,PELL_EVER,FIRST_GEN,ICLEVEL,FTFTPCTPELL
Allied Health Careers Institute,Murfreesboro,TN,1,3,0,NULL,NULL,82,0.0366,NULL,NULL,NULL,3,0.1769
Sacramento Ultrasound Institute,Sacramento,CA,2,3,0,NULL,NULL,82,0.1585,NULL,NULL,NULL,2,0
Medical Prep Institute of Tampa Bay,Tampa,FL,3,3,0,0.5028,1048,245,0.2204,NULL,NULL,NULL,1,0.9333
Elite Institute of Cosmetology,Portsmouth,OH,1,3,0,NULL,NULL,21,0,NULL,NULL,NULL,2,0.6667
Regan Career Institute,El Monte,CA,1,3,0,NULL,NULL,10,1,NULL,NULL,NULL,3,0.913
Bolivar Technical College,Bolivar,MO,2,2,0,0.3333,NULL,120,0.0083,NULL,NULL,NULL,2,1
Baldy View Regional Occupational Program,Ontario,CA,1,1,0,NULL,NULL,26,0.6154,NULL,NULL,NULL,3,0.1538
MAK Beauty Institute,Cumming,GA,1,3,0,NULL,NULL,23,0.0435,NULL,NULL,NULL,3,1
Reformed University,Lawrenceville,GA,4,2,0,NULL,NULL,110,0,NULL,NULL,NULL,1,0.3333
Mobile Technical Training,South Hackensack,NJ,1,3,0,NULL,NULL,31,0.3548,NULL,NULL,NULL,3,0
American Barber Academy,Reading,PA,1,3,0,NULL,NULL,44,0.5682,NULL,NULL,NULL,3,0.9565
Master's Barber & Styling College,Old Hickory,TN,1,3,0,NULL,NULL,27,0.037,NULL,NULL,NULL,3,0.6667
Yeshiva Shaar Ephraim,Monsey,NY,3,2,0,NULL,NULL,109,0,NULL,NULL,NULL,1,0.6486
California Institute of Arts & Technology,San Diego,CA,2,3,0,NULL,NULL,526,0.1749,NULL,NULL,NULL,2,0.0566
Elite Cosmetology Barber & Spa Academy,Yakima,WA,1,3,0,NULL,NULL,113,0.6018,NULL,NULL,NULL,3,0.5476
Cutting Edge Academy,Succasunna,NJ,1,3,0,NULL,NULL,77,0.3247,NULL,NULL,NULL,3,0.6667
Yeshiva Bais Aharon,Lakewood,NJ,3,2,0,0.6923,NULL,41,0,NULL,NULL,NULL,1,0.5385
Mechon L'hoyroa,Monsey,NY,3,2,0,NULL,NULL,45,0,NULL,NULL,NULL,1,NULL
My Beauty & Barber College,Sacramento,CA,1,3,0,NULL,NULL,57,0.1228,NULL,NULL,NULL,3,NULL
Elyon College,Brooklyn,NY,0,2,0,NULL,NULL,41,0,NULL,NULL,NULL,2,0.64
C. Alexander School of Cosmetology,Little Rock,AR,1,3,0,NULL,NULL,24,0,NULL,NULL,NULL,3,0.8182
Western Michigan University Homer Stryker M.D. School of Medicine,Kalamazoo,MI,4,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
Harmony Health Care Institute,Merrimack,NH,1,3,0,0.75,NULL,54,0.0741,NULL,NULL,NULL,3,0.6667
American Beauty Schools,Miami,FL,1,3,0,NULL,NULL,31,1,NULL,NULL,NULL,3,0.5
Hogan Institute of Cosmetology and Esthetics,Lilburn,GA,1,3,0,NULL,NULL,14,0.0714,NULL,NULL,NULL,3,0.8974
J's Barber College,New Iberia,LA,1,3,0,NULL,NULL,36,0,NULL,NULL,NULL,3,0.6538
Ann Webb Skin Institute,Austin,TX,1,3,0,NULL,NULL,134,0.2015,NULL,NULL,NULL,3,0.3784
Apex Academy Hair Skin Nails School of Cosmetology,Ontario,OH,1,3,0,NULL,NULL,27,0.037,NULL,NULL,NULL,3,0.5833
The Esthetic Institute,Vienna,VA,1,3,0,NULL,NULL,145,0.1655,NULL,NULL,NULL,3,NULL
Kor Beauty Academy,Peoria,AZ,1,3,0,NULL,NULL,14,0.1429,NULL,NULL,NULL,3,0.8667
EduMed Partners,Goodlettsville,TN,1,3,0,NULL,NULL,40,0.225,NULL,NULL,NULL,3,0.4342
Massage Institute of Memphis,Memphis,TN,1,3,0,NULL,NULL,29,0.0345,NULL,NULL,NULL,3,0.6667
Digital Media Institute at InterTech,Shreveport,LA,1,2,0,0.8182,NULL,26,0,NULL,NULL,NULL,3,0.5
Yeshiva Ohr Naftoli,New Windsor,NY,3,2,0,0.9,NULL,18,0,NULL,NULL,NULL,1,0.4545
Bais Medrash Mayan Hatorah,Lakewood,NJ,3,2,0,0.6471,NULL,69,0,NULL,NULL,NULL,1,0.25
Allgood Beauty Institute,Frisco,TX,1,3,0,NULL,NULL,8,0.125,NULL,NULL,NULL,3,0.5
Ray J's College of Hair,Baton Rouge,LA,1,3,0,NULL,NULL,11,0,NULL,NULL,NULL,3,0.375
Delta Designs Cosmetology School,Wynne,AR,1,3,0,NULL,NULL,45,0,NULL,NULL,NULL,3,1
Gwinnett Institute,Orlando,FL,2,3,0,NULL,NULL,262,0.1832,NULL,NULL,NULL,2,0.6988
Career Quest Learning Center-Mt. Pleasant,Mount Pleasant,MI,2,3,0,NULL,NULL,60,0,NULL,NULL,NULL,2,0.9265
Kansas City University of Medicine and Biosciences-Joplin,Joplin,MO,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
Manuel and Theresa's School of Hair Design,Brenham,TX,1,3,0,NULL,NULL,9,0.2222,NULL,NULL,NULL,3,0.8
Cincinnati School of Barbering & Hair Design Inc,Cincinnati,OH,1,3,0,NULL,NULL,35,0.0571,NULL,NULL,NULL,2,0.4286
L Makeup Institute,Las Vegas,NV,1,3,0,NULL,NULL,63,0.3492,NULL,NULL,NULL,3,0.2203
Peloton College,Arlington,TX,1,3,0,NULL,NULL,70,0.2571,NULL,NULL,NULL,3,0.6364
Northern Technical College,Pine Bluff,AR,1,3,0,NULL,NULL,29,0,NULL,NULL,NULL,3,1
Purdue University Global-St. Louis,St. Louis,MO,4,1,0,NULL,NULL,232,0.0129,NULL,NULL,NULL,1,NULL
Purdue University Northwest,Hammond,IN,4,1,0,0.3108,1022,8244,0.2012,NULL,NULL,NULL,1,0.4308
Ross Medical Education Center - Kalamazoo,Kalamazoo,MI,1,3,0,NULL,NULL,72,0.1111,NULL,NULL,NULL,3,0.5
Ross College-Canton,Canton,OH,2,3,0,NULL,NULL,225,0.0178,NULL,NULL,NULL,2,0.6452
Ross College-Grand Rapids North,Grand Rapids,MI,1,3,0,NULL,NULL,96,0.1563,NULL,NULL,NULL,3,0.4691
East-West University,Keshena,WI,0,2,0,NULL,NULL,11,0,NULL,NULL,NULL,1,0.5
American Institute-Somerset,Somerset,NJ,1,3,0,NULL,NULL,200,0.34,NULL,NULL,NULL,3,0.8972
Platt College-Anaheim,Anaheim,CA,2,3,0,NULL,NULL,349,0.467,NULL,NULL,NULL,1,0.8205
Advantage Career Institute,Eatontown,NJ,1,3,0,NULL,NULL,104,0.2692,NULL,NULL,NULL,3,0
Bull City Durham Beauty and Barber College,Durham,NC,1,3,0,NULL,NULL,8,0,NULL,NULL,NULL,3,1
Fortis College-Cutler Bay,Cutler Bay,FL,2,3,0,NULL,NULL,302,0.6755,NULL,NULL,NULL,2,0.9231
Yeshiva Kollel Tifereth Elizer,Brooklyn,NY,3,2,0,0.5833,NULL,94,0,NULL,NULL,NULL,1,0.5714
Strand Institute of Beauty & Esthetics,Portland,TX,1,3,0,NULL,NULL,11,0.4545,NULL,NULL,NULL,3,0.8
Arkansas Welding Academy,Jacksonville,AR,1,3,0,NULL,NULL,15,0.1333,NULL,NULL,NULL,3,0.4545
Unitech Training Academy-Baton Rouge,Baton Rouge,LA,1,3,0,NULL,NULL,54,0,NULL,NULL,NULL,3,0.9739
